Time	Ticks	Date	Temperature	Shutter	Lichtmenge	ThermoBad	TempExt	SollTemp	TempablMz	AmpCut.5	TauCut.5	ErrCut.5	GCut'.5	GCut''.5	GCutNP.5	GCutErr.5	AmpAll.5	TauAll.5	ErrAll.5	GAll'.5	GAll''.5	GAllNP.5	GAllErr.5	TimeOffsLipp
Time	100 ns ticks since 1.1.0001	Date	Temperature	Shutter	Lichtmenge	Temperatur_Thermostatbad	Temperatur_Extern	Solltemperatur	TemperaturableitungMesszelle	AmpCut.5	TauCut.5	ErrCut.5	GCut'.5	GCut''.5	GCutNP.5	GCutErr.5	AmpAll.5	TauAll.5	ErrAll.5	GAll'.5	GAll''.5	GAllNP.5	GAllErr.5	TimeOffset to Spectrometer
s			°C		W/cm²	°C		°C	K/s	Vs	sec		Pa	Pa	Pa	Pa	Vs	sec		Pa	Pa	Pa	Pa	s
1230.034	6.3387571109934541E+17	03.09.2009 10:38:29.934	20	0	-2E-10	19.73	27.91	20	-1.33949243161338E-05	6.23719291513729E-09	2.82257818000093E-05	4.33951427112333E-05					4.4257614990604E-08	2.8197430109997E-05	3.24441771226702E-06					-0.0144035
1260.035	6.3387571139934925E+17	03.09.2009 10:38:59.934	20	0	-2E-10	19.74	27.908	20	-9.33569159374138E-06	6.23690246014324E-09	2.82257910615029E-05	4.19724819948897E-05					4.42505041242497E-08	2.81974331135802E-05	5.07085223944159E-06					-0.0294249
1290.036	6.338757116993568E+17	03.09.2009 10:39:29.935	20	0	-2E-10	19.73	27.908	20	4.46800370589589E-07	6.23777118462545E-09	2.82257874377992E-05	4.49711078545079E-05					4.42524977017088E-08	2.81974308016371E-05	2.6823745429283E-06					-0.0288483
1320.037	6.3387571199936077E+17	03.09.2009 10:39:59.936	20	0	-2E-10	19.73	27.9	20	6.85006914817478E-06	6.23622979278201E-09	2.82257838295165E-05	4.17739101976622E-05					4.4242772740408E-08	2.81974287714013E-05	2.85175292447093E-06					-0.0282717
1350.037	6.3387571229936781E+17	03.09.2009 10:40:29.936	20.01	0	-2E-10	19.73	27.943	20	3.47192773969682E-05	6.23534324492517E-09	2.82257891696923E-05	4.22570774389897E-05					4.42351205715647E-08	2.81974290472802E-05	2.05346987058874E-06					-0.0273004
1380.038	6.3387571259936806E+17	03.09.2009 10:40:59.936	20.01	0	-2E-10	19.71	27.944	20	4.14040598047385E-05	6.23357477008639E-09	2.82257932681701E-05	4.21125041611958E-05					4.42241123272902E-08	2.81974297272635E-05	2.65913718067168E-06					-0.0409989
1410.039	6.338757128993696E+17	03.09.2009 10:41:29.936	20.01	0	-2E-10	19.73	28.004	20	1.02484215076714E-05	6.22565723099854E-09	2.82258009159177E-05	3.90642999263946E-05					4.4162889695544E-08	2.81974404729421E-05	3.33583056999487E-06					-0.0390639
1440.04	6.3387571319936922E+17	03.09.2009 10:41:59.936	20	0	-2E-10	19.73	27.984	20	-1.59607151297669E-05	6.22878754368443E-09	2.82257898477328E-05	4.04328020522371E-05					4.41861472190677E-08	2.81974344968605E-05	4.75173010272556E-06					-0.0371109
1470.041	6.3387571349936653E+17	03.09.2009 10:42:29.936	20	0	-2E-10	19.74	27.981	20	-2.12147344879522E-05	6.22881526893386E-09	2.82257923223862E-05	4.23127457906958E-05					4.41833271651255E-08	2.81974368942873E-05	3.96453515350004E-06					-0.0195634
1500.042	6.338757137993687E+17	03.09.2009 10:42:59.936	20	0	-2E-10	19.75	28.014	20	-1.87955756860651E-05	6.23050716927421E-09	2.82257913105468E-05	4.43913631897885E-05					4.41913278799616E-08	2.81974366708642E-05	2.55066794352388E-07					-0.0176404
1530.042	6.3387571409936589E+17	03.09.2009 10:43:29.936	20	0	-2E-10	19.72	28.041	20	-8.49235461012482E-06	6.22661177172899E-09	2.8225799795281E-05	4.1117615182884E-05					4.41641492140182E-08	2.81974400319244E-05	2.02499609258666E-06					-0.0313349
1560.043	6.3387571439936589E+17	03.09.2009 10:43:59.936	20	0	-2E-10	19.72	28.032	20	2.0595664665267E-05	6.22875717793505E-09	2.82257982531761E-05	4.20631149609108E-05					4.41662827379745E-08	2.81974396608478E-05	1.17766319363E-06					-0.0294099
1590.044	6.3387571469936768E+17	03.09.2009 10:44:29.936	20.01	0	-2E-10	19.72	28.069	20	4.45045887985044E-05	6.2270164283457E-09	2.82257975305724E-05	4.32060551247559E-05					4.41618018095663E-08	2.81974371235388E-05	1.72647810359194E-06					-0.0274829
1620.045	6.338757149993696E+17	03.09.2009 10:44:59.936	20	0	-2E-10	19.72	28.12	20	2.34167905650193E-05	6.22577671362109E-09	2.82257995123594E-05	4.43481039837934E-05					4.41563544581779E-08	2.81974350719321E-05	1.5663594012949E-06					-0.0256819
1650.046	6.3387571529937E+17	03.09.2009 10:45:29.937	20	0	-2E-10	19.72	28.19	20	-1.53936900614492E-05	6.22567175374824E-09	2.82257978816138E-05	4.14850364904851E-05					4.41475167048589E-08	2.81974325093665E-05	2.78314837487414E-06					-0.023893
1680.046	6.3387571559937126E+17	03.09.2009 10:45:59.937	20	0	-2E-10	19.73	28.203	20	-2.73547047231648E-05	6.22554038887593E-09	2.82257941015139E-05	4.0580693166703E-05					4.41399015030148E-08	2.81974324588535E-05	2.57867600339523E-06					-0.0381693
1710.047	6.3387571589936845E+17	03.09.2009 10:46:29.936	20	0	-2E-10	19.72	28.256	20	-2.58827703293277E-05	6.22310650805078E-09	2.82257968643102E-05	4.22059856646229E-05					4.41294398422291E-08	2.8197428367297E-05	2.37625636145822E-06					-0.0368197
1740.048	6.3387571619937024E+17	03.09.2009 10:46:59.937	20	0	-2E-10	19.71	28.316	20	-2.00357067071363E-05	6.22272825643353E-09	2.82257956023341E-05	4.17767405451741E-05					4.41248796988225E-08	2.81974268596769E-05	3.9819851735956E-06					-0.0354729
1770.049	6.3387571649936755E+17	03.09.2009 10:47:29.936	20	0	-2E-10	19.73	28.387	20	-1.44437200552496E-05	6.22260613331103E-09	2.82257995031311E-05	4.30881336797029E-05					4.4120021178922E-08	2.8197428295413E-05	4.24774589191657E-06					-0.0341233
